review_id,date,rating,review_text,service_type,manual_labels
1,2023-10-15,5,"Отличный сервис! Быстро оформили заказ и доставили раньше срока.",Delivery,Sentiment:Positive;Topic:Delivery Speed
2,2023-09-22,1,"Ужасное обслуживание. Мой заказ так и не доставили, пришлось требовать возврат денег.",Delivery,Sentiment:Negative;Topic:Order Failure
3,2023-11-05,4,"Хорошая техподдержка, помогли решить проблему за 15 минут.",Technical Support,Sentiment:Positive;Topic:Problem Resolution
4,2023-08-14,2,"Очень долго отвечают на письма. Не рекомендую этот сервис.",Customer Service,Sentiment:Negative;Topic:Response Time
5,2023-12-01,3,"Неплохой сервис, но цены могли бы быть ниже.",Sales,Sentiment:Neutral;Topic:Pricing
6,2023-07-19,5,"Лучшая платформа из всех, что я пробовал! Интуитивно понятный интерфейс.",Software,Sentiment:Positive;Topic:Usability
7,2023-10-30,1,"Постоянные сбои в работе приложения. Требуется срочное обновление!",Software,Sentiment:Negative;Topic:Reliability
8,2023-11-18,4,"Быстрая обработка заявки, профессиональные сотрудники.",Sales,Sentiment:Positive;Topic:Service Quality
9,2023-09-05,2,"Несоответствие описания товара реальности. Разочарован.",Product Quality,Sentiment:Negative;Topic:Accuracy
10,2023-12-12,5,"Прекрасный опыт использования! Все функции работают идеально.",Software,Sentiment:Positive;Topic:Functionality
